S.No.	 Experimental  Method 	Organism	 Cell  Type/  Tissue 	 Genome  Version 	 Disease/  Target  Pathway 	Samples	Replicates	PMID	 Publication  Journal 	 Publication  Year 	GSE	GSM	TF or histone mark	 Cistrome  ID 	KEGG ID	Metadata
11	ChIP-Seq	 Homo  sapiens 	Dld1 Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283772	H3K79me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
12	ChIP-Seq	 Homo  sapiens 	Sa Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283773	H3K79me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
13	ChIP-Seq	 Homo  sapiens 	Sph Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283774	H3K79me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
14	ChIP-Seq	 Homo  sapiens 	Mets Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283775	H3K79me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
15	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2101436	FXR1	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2017"
16	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2101437	H3K4me3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2018"
17	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752893	STAT1	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2019"
18	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2101438	H3K9me3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2020"
19	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2101439	H3K27me3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2021"
20	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752894	STAT3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2022"
21	ChIP-Seq	 Homo  sapiens 	"Ags, Gastric Cancer Cell Line"	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752897	FXR1	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2023"
22	ChIP-Seq	 Homo  sapiens 	"Ags, Gastric Cancer Cell Line"	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752898	FXR2	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2024"
23	ChIP-Seq	 Homo  sapiens 	"Ags, Gastric Cancer Cell Line"	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752899	STAT1	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2025"
24	ChIP-Seq	 Homo  sapiens 	"Ags, Gastric Cancer Cell Line"	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752900	STAT3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2026"
25	ChIP-Seq	 Homo  sapiens 	"Ags, Gastric Cancer Cell Line"	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752901	H3K4me3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2027"
26	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752895	H3K4me3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2028"
27	ChIP-Seq	 Homo  sapiens 	Du145  Prostate Cancer Cell Line	hg19	Prostate adenocarcinoma	3	!	28119415	 Nucleic  Acids  Research 	2017	GSE86238	GSM2298950	ETS2	74508	map05215	"Plotnik  JP,  et  al.  Interaction  with  ZMYND11  mediates  opposing  roles  of  Ras-responsive  transcription  factors  ETS1  and  ETS2.  Nucleic  Acids  Res.  2017"
